match_id,round,slot_a,slot_a_type,slot_b,slot_b_type,status
M001,R64,SUB26-046,direct,SUB26-061,direct,scheduled
M002,R64,SUB26-004,direct,SUB26-050,direct,scheduled
M003,R64,PI01-WINNER,playin_winner,SUB26-055,direct,scheduled
M004,R64,SUB26-068,direct,SUB26-021,direct,scheduled
M005,R64,PI03-WINNER,playin_winner,SUB26-072,direct,scheduled
M006,R64,SUB26-022,direct,SUB26-029,direct,scheduled
M007,R64,SUB26-007,direct,SUB26-032,direct,scheduled
M008,R64,SUB26-065,direct,SUB26-010,direct,scheduled
M009,R64,SUB26-071,direct,SUB26-013,direct,scheduled
M010,R64,SUB26-009,direct,SUB26-059,direct,scheduled
M011,R64,SUB26-011,direct,SUB26-056,direct,scheduled
M012,R64,SUB26-067,direct,SUB26-008,direct,scheduled
M013,R64,PI02-WINNER,playin_winner,SUB26-033,direct,scheduled
M014,R64,PI06-WINNER,playin_winner,SUB26-037,direct,scheduled
M015,R64,SUB26-025,direct,SUB26-045,direct,scheduled
M016,R64,SUB26-027,direct,SUB26-039,direct,scheduled
M017,R64,SUB26-012,direct,SUB26-058,direct,scheduled
M018,R64,SUB26-018,direct,SUB26-040,direct,scheduled
M019,R64,PI07-WINNER,playin_winner,SUB26-038,direct,scheduled
M020,R64,SUB26-070,direct,SUB26-048,direct,scheduled
M021,R64,SUB26-053,direct,SUB26-005,direct,scheduled
M022,R64,SUB26-036,direct,SUB26-041,direct,scheduled
M023,R64,SUB26-060,direct,SUB26-023,direct,scheduled
M024,R64,PI08-WINNER,playin_winner,SUB26-017,direct,scheduled
M025,R64,SUB26-043,direct,SUB26-024,direct,scheduled
M026,R64,PI04-WINNER,playin_winner,SUB26-006,direct,scheduled
M027,R64,SUB26-047,direct,SUB26-015,direct,scheduled
M028,R64,SUB26-054,direct,SUB26-002,direct,scheduled
M029,R64,SUB26-026,direct,SUB26-035,direct,scheduled
M030,R64,SUB26-063,direct,SUB26-049,direct,scheduled
M031,R64,SUB26-014,direct,SUB26-030,direct,scheduled
M032,R64,PI05-WINNER,playin_winner,SUB26-064,direct,scheduled
